Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
58	5516	1	98	1.0	1.0175438596491229	98.0	96.7719298245614	58	5516	1	98	1.0	1.0357142857142858	98.0	98.5	ping
58	5516	1	98	1.0	1.0175438596491229	98.0	96.7719298245614	59	5614	1	98	1.0	1.0350877192982457	98.0	98.49122807017544	ping
59	5614	1	98	1.0	1.0172413793103448	98.0	96.79310344827586	59	5614	1	98	1.0	1.0350877192982457	98.0	98.49122807017544	ping
59	5614	1	98	1.0	1.0172413793103448	98.0	96.79310344827586	60	5712	1	98	1.0	1.0344827586206897	98.0	98.48275862068965	ping
60	5712	1	98	1.0	1.0169491525423728	98.0	96.8135593220339	60	5712	1	98	1.0	1.0344827586206897	98.0	98.48275862068965	ping
60	5712	1	98	1.0	1.0169491525423728	98.0	96.8135593220339	61	5810	1	98	1.0	1.0338983050847457	98.0	98.47457627118644	ping
61	5810	1	98	1.0	1.0166666666666666	98.0	96.83333333333333	61	5810	1	98	1.0	1.0338983050847457	98.0	98.47457627118644	ping
61	5810	1	98	1.0	1.0166666666666666	98.0	96.83333333333333	62	5908	1	98	1.0	1.0333333333333334	98.0	98.46666666666667	ping
63	5950	2	140	2.0	1.0327868852459017	140.0	97.54098360655738	62	5908	1	98	1.0	1.0333333333333334	98.0	98.46666666666667	ping
63	5950	2	140	2.0	1.0327868852459017	140.0	97.54098360655738	64	6048	2	140	2.0	1.0491803278688525	140.0	99.14754098360656	ping
64	6048	1	98	1.0	1.032258064516129	98.0	97.54838709677419	64	6048	2	140	2.0	1.0491803278688525	140.0	99.14754098360656	ping
64	6048	1	98	1.0	1.032258064516129	98.0	97.54838709677419	65	6146	1	98	1.0	1.0483870967741935	98.0	99.12903225806451	ping
65	6146	1	98	1.0	1.0317460317460319	98.0	97.55555555555556	65	6146	1	98	1.0	1.0483870967741935	98.0	99.12903225806451	ping
65	6146	1	98	1.0	1.0317460317460319	98.0	97.55555555555556	66	6244	1	98	1.0	1.0476190476190477	98.0	99.11111111111111	ping
66	6244	1	98	1.0	1.03125	98.0	97.5625	66	6244	1	98	1.0	1.0476190476190477	98.0	99.11111111111111	ping
66	6244	1	98	1.0	1.03125	98.0	97.5625	67	6342	1	98	1.0	1.046875	98.0	99.09375	ping
67	6342	1	98	1.0	1.0307692307692307	98.0	97.56923076923077	67	6342	1	98	1.0	1.046875	98.0	99.09375	ping
67	6342	1	98	1.0	1.0307692307692307	98.0	97.56923076923077	68	6440	1	98	1.0	1.0461538461538462	98.0	99.07692307692308	ping
68	6440	1	98	1.0	1.0303030303030303	98.0	97.57575757575758	68	6440	1	98	1.0	1.0461538461538462	98.0	99.07692307692308	ping
68	6440	1	98	1.0	1.0303030303030303	98.0	97.57575757575758	69	6538	1	98	1.0	1.0454545454545454	98.0	99.06060606060606	ping
69	6538	1	98	1.0	1.0298507462686568	98.0	97.58208955223881	69	6538	1	98	1.0	1.0454545454545454	98.0	99.06060606060606	ping
69	6538	1	98	1.0	1.0298507462686568	98.0	97.58208955223881	70	6636	1	98	1.0	1.044776119402985	98.0	99.04477611940298	ping
70	6636	1	98	1.0	1.0294117647058822	98.0	97.58823529411765	70	6636	1	98	1.0	1.044776119402985	98.0	99.04477611940298	ping
70	6636	1	98	1.0	1.0294117647058822	98.0	97.58823529411765	71	6734	1	98	1.0	1.0441176470588236	98.0	99.02941176470588	ping
71	6734	1	98	1.0	1.0289855072463767	98.0	97.59420289855072	71	6734	1	98	1.0	1.0441176470588236	98.0	99.02941176470588	ping
71	6734	1	98	1.0	1.0289855072463767	98.0	97.59420289855072	72	6832	1	98	1.0	1.0434782608695652	98.0	99.01449275362319	ping
72	6832	1	98	1.0	1.0285714285714285	98.0	97.6	72	6832	1	98	1.0	1.0434782608695652	98.0	99.01449275362319	ping
72	6832	1	98	1.0	1.0285714285714285	98.0	97.6	73	6930	1	98	1.0	1.042857142857143	98.0	99.0	ping
73	6930	1	98	1.0	1.028169014084507	98.0	97.6056338028169	73	6930	1	98	1.0	1.042857142857143	98.0	99.0	ping
73	6930	1	98	1.0	1.028169014084507	98.0	97.6056338028169	74	7028	1	98	1.0	1.0422535211267605	98.0	98.98591549295774	ping
