Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
54	3666	0	0	0.0	0.8852459016393442	0.0	60.09836065573771	2708	422834	48	7584	48.0	45.13333333333333	7584.0	7047.233333333334	voice
54	3666	0	0	0.0	0.8852459016393442	0.0	60.09836065573771	2753	429944	45	7110	45.0	45.131147540983605	7110.0	7048.262295081967	voice
54	3666	0	0	0.0	0.8709677419354839	0.0	59.12903225806452	2753	429944	45	7110	45.0	45.131147540983605	7110.0	7048.262295081967	voice
54	3666	0	0	0.0	0.8709677419354839	0.0	59.12903225806452	2801	437528	48	7584	48.0	45.17741935483871	7584.0	7056.903225806452	voice
54	3666	0	0	0.0	0.8571428571428571	0.0	58.19047619047619	2801	437528	48	7584	48.0	45.17741935483871	7584.0	7056.903225806452	voice
54	3666	0	0	0.0	0.8571428571428571	0.0	58.19047619047619	2848	444954	47	7426	47.0	45.20634920634921	7426.0	7062.761904761905	voice
54	3666	0	0	0.0	0.84375	0.0	57.28125	2848	444954	47	7426	47.0	45.20634920634921	7426.0	7062.761904761905	voice
54	3666	0	0	0.0	0.84375	0.0	57.28125	2897	452696	49	7742	49.0	45.265625	7742.0	7073.375	voice
55	3732	1	66	1.0	0.8461538461538461	66.0	57.41538461538462	2897	452696	49	7742	49.0	45.265625	7742.0	7073.375	voice
55	3732	1	66	1.0	0.8461538461538461	66.0	57.41538461538462	2917	455769	20	3073	20.0	44.87692307692308	3073.0	7011.830769230769	voice
64	4348	9	616	9.0	0.9696969696969697	616.0	65.87878787878788	2917	455769	20	3073	20.0	44.87692307692308	3073.0	7011.830769230769	voice
64	4348	9	616	9.0	0.9696969696969697	616.0	65.87878787878788	2954	460824	37	5055	37.0	44.75757575757576	5055.0	6982.181818181818	voice
64	4348	0	0	0.0	0.9552238805970149	0.0	64.8955223880597	2954	460824	37	5055	37.0	44.75757575757576	5055.0	6982.181818181818	voice
64	4348	0	0	0.0	0.9552238805970149	0.0	64.8955223880597	3002	468408	48	7584	48.0	44.80597014925373	7584.0	6991.164179104478	voice
64	4348	0	0	0.0	0.9411764705882353	0.0	63.94117647058823	3002	468408	48	7584	48.0	44.80597014925373	7584.0	6991.164179104478	voice
64	4348	0	0	0.0	0.9411764705882353	0.0	63.94117647058823	3050	475992	48	7584	48.0	44.85294117647059	7584.0	6999.882352941177	voice
64	4348	0	0	0.0	0.927536231884058	0.0	63.01449275362319	3050	475992	48	7584	48.0	44.85294117647059	7584.0	6999.882352941177	voice
64	4348	0	0	0.0	0.927536231884058	0.0	63.01449275362319	3099	483734	49	7742	49.0	44.91304347826087	7742.0	7010.63768115942	voice
64	4348	0	0	0.0	0.9142857142857143	0.0	62.114285714285714	3099	483734	49	7742	49.0	44.91304347826087	7742.0	7010.63768115942	voice
